,Track Name,Artist,Album,Duration (ms),Popularity;
80,رحالة العصر الحديث,Saad Lamjarred,رحالة العصر الحديث,240014,48;
81,Janam Janam,Pritam,Dilwale (Original Motion Picture Soundtrack),237896,72;
82,Na Ja,Pav Dharia,Na Ja,208000,76;
83,Meri Mehbooba,Kumar Sanu,Pardes (Original Motion Picture Soundtrack),415906,62;
84,Chammak Challo,Akon,Ra-One,227091,75;
85,Kana Yaari,Kaifi Khalil,Kana Yaari,226802,64;
"86,""Tujhe Dekha To (From """"Dilwale Dulhania Le Jayenge"""")"",Lata Mangeshkar,Diamonds Forever - Lata Mangeshkar,303960,51";
87,Why This Kolaveri Di? - The Soup of Love,Anirudh Ravichander,3 (Original Motion Picture Soundtrack),260013,63;
88,Tsunami,Chawki,Tsunami,249808,40;
89,Dirty Little Secret,Zack Knight,Dirty Little Secret,183092,66;
90,Something Just Like This,The Chainsmokers,Memories...Do Not Open,247160,88;
91,What Makes You Beautiful,One Direction,Up All Night,199986,87;
92,talkSPORT Hit [16/06/23],talkSPORT Hit,talkSPORT Hit,181838,0;
93,Unholy (feat. Kim Petras),Sam Smith,Unholy (feat. Kim Petras),156943,91;
94,One Kiss (with Dua Lipa),Calvin Harris,One Kiss (with Dua Lipa),214846,89;
95,Woman,Doja Cat,Planet Her,172626,87;
96,Dreams - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),257800,87;
97,Tributes pour in for Oscar-winner Glenda Jackson following her death aged 87,HELLO! The Daily Lowdown,HELLO! The Daily Lowdown,236878,0;
98,Believer,Imagine Dragons,Evolve,204346,90;
99,Circles,Post Malone,Hollywood's Bleeding,215280,89;
100,STAY (with Justin Bieber),The Kid LAROI,STAY (with Justin Bieber),141805,87;
101,Losing My Religion,R.E.M.,Out Of Time (25th Anniversary Edition),268426,86;
102,Ep 619: The allegations against Crispin Odey,Sensemaker,Sensemaker,502987,0;
103,CUFF IT,Beyoncé,RENAISSANCE,225388,90;
104,Heather,Conan Gray,Kid Krow,198040,88;
105,Demons,Imagine Dragons,Night Visions,177506,87;
